Date,Revenue,COGS,number_of_order,number_of_customer,sum_of_sessions,sum_of_page_views,sum_of_shipping_fee,number_visitor_review,mean_of_rating,sum_of_refund,number_of_customer_signup
2012-07-04,5123547.94,3982991.19,162,161,28192.15806451613,122409.55806451612,157.76,36.59214501510574,3.945572270604423,157291.17806060606,3.0
2012-07-05,2751773.45,2150580.23,97,97,28192.15806451613,122409.55806451612,172.75,36.59214501510574,3.945572270604423,157291.17806060606,5.0
2012-07-06,3054029.42,2517632.84,93,93,28192.15806451613,122409.55806451612,292.15,36.59214501510574,3.945572270604423,157291.17806060606,30.964179104477612
2012-07-07,2667930.94,2108246.62,73,73,28192.15806451613,122409.55806451612,328.58,36.59214501510574,3.945572270604423,157291.17806060606,4.0
2012-07-08,2360851.9,1808622.79,88,87,28192.15806451613,122409.55806451612,428.18,36.59214501510574,3.945572270604423,157291.17806060606,4.0
2012-07-09,3548386.46,2787841.68,137,137,28192.15806451613,122409.55806451612,404.65,36.59214501510574,3.945572270604423,157291.17806060606,3.0
2012-07-10,5234938.62,4044438.84,183,182,28192.15806451613,122409.55806451612,416.9,1.0,5.0,157291.17806060606,2.0
2012-07-11,5582884.78,4338313.07,221,221,28192.15806451613,122409.55806451612,571.37,36.59214501510574,3.945572270604423,6493.75,2.0
2012-07-12,5734632.02,4458811.27,246,243,28192.15806451613,122409.55806451612,706.0699999999999,1.0,5.0,4834.0,2.0
2012-07-13,5309511.71,4143402.78,201,200,28192.15806451613,122409.55806451612,777.6800000000001,2.0,4.5,157291.17806060606,30.964179104477612
2012-07-14,3820831.41,3075464.87,157,154,28192.15806451613,122409.55806451612,873.9,2.0,3.5,52967.0,3.0
2012-07-15,3948841.28,3154482.05,149,148,28192.15806451613,122409.55806451612,853.6,4.0,4.25,13534.619999999999,30.964179104477612
2012-07-16,3503801.49,2708219.59,140,139,28192.15806451613,122409.55806451612,653.3,4.0,4.25,16170.54,4.0
2012-07-17,4476729.49,3463061.65,185,183,28192.15806451613,122409.55806451612,583.36,8.0,3.875,22944.07,2.0
2012-07-18,5184141.46,4072012.16,225,223,28192.15806451613,122409.55806451612,880.72,8.0,4.875,23202.75,2.0
2012-07-19,6421487.11,5007270.91,263,259,28192.15806451613,122409.55806451612,978.63,9.0,3.5555555555555554,35697.71,6.0
2012-07-20,5171470.46,4213989.64,231,230,28192.15806451613,122409.55806451612,1229.6,10.0,4.6,1511.59,1.0
2012-07-21,3442157.02,2746075.45,171,170,28192.15806451613,122409.55806451612,1159.1,13.0,4.538461538461538,139515.72,3.0
2012-07-22,3117550.57,2531656.38,140,139,28192.15806451613,122409.55806451612,1069.55,9.0,4.111111111111111,196470.94,1.0
2012-07-23,4730517.69,3685006.66,206,203,28192.15806451613,122409.55806451612,934.63,11.0,4.363636363636363,127759.84,3.0
2012-07-24,4096496.12,3248450.65,186,185,28192.15806451613,122409.55806451612,879.1,22.0,4.181818181818182,81299.68000000001,5.0
2012-07-25,5246688.08,4140019.37,224,221,28192.15806451613,122409.55806451612,1012.61,8.0,3.75,141941.0,3.0
2012-07-26,5851965.06,4579171.74,273,270,28192.15806451613,122409.55806451612,1199.82,17.0,4.222222222222222,46345.31,6.0
2012-07-27,5156699.45,3989402.2,212,211,28192.15806451613,122409.55806451612,878.0,16.0,3.5,53193.439999999995,4.0
2012-07-28,4326956.84,3403662.59,176,176,28192.15806451613,122409.55806451612,1082.33,14.0,3.4285714285714284,77765.1,4.0
2012-07-29,4804199.65,3819645.91,206,205,28192.15806451613,122409.55806451612,1094.89,18.0,3.6666666666666665,188827.85,3.0
2012-07-30,6586130.95,5195109.56,268,264,28192.15806451613,122409.55806451612,1031.69,20.0,3.95,126235.4,5.0
2012-07-31,9151622.14,7142891.18,381,377,28192.15806451613,122409.55806451612,1143.31,22.0,3.8181818181818183,209656.85,3.0
2012-08-01,9148357.3,7308514.33,360,357,31493.812903225808,138402.15483870968,1064.84,17.0,3.588235294117647,37734.15,6.0
2012-08-02,9692427.0,7537501.15,413,410,31493.812903225808,138402.15483870968,1720.95,19.0,4.315789473684211,42250.2,2.0
2012-08-03,9297269.95,7118808.46,353,351,31493.812903225808,138402.15483870968,1986.81,28.0,3.7857142857142856,261973.78000000003,4.0
2012-08-04,6384195.03,5087528.11,245,243,31493.812903225808,138402.15483870968,1821.24,25.0,4.12,68406.08,1.0
2012-08-05,2359224.19,1863413.11,76,76,31493.812903225808,138402.15483870968,956.19,28.0,3.5714285714285716,120347.12,1.0
2012-08-06,3630003.7,2922718.71,114,114,31493.812903225808,138402.15483870968,848.66,31.0,4.125,147083.88,2.0
2012-08-07,2240253.44,1781265.84,93,91,31493.812903225808,138402.15483870968,547.92,38.0,4.026315789473684,112879.45999999999,2.0
2012-08-08,2617553.36,1997006.42,129,128,31493.812903225808,138402.15483870968,300.33,28.0,4.0,51784.979999999996,4.0
2012-08-09,4478691.52,3621672.71,156,156,31493.812903225808,138402.15483870968,625.23,36.0,4.083333333333333,242575.69999999998,3.0
2012-08-10,3412496.65,2699279.56,158,158,31493.812903225808,138402.15483870968,464.36,37.0,3.7837837837837838,271024.06,2.0
2012-08-11,2732604.35,2168668.05,110,110,31493.812903225808,138402.15483870968,654.81,37.0,3.918918918918919,140878.88,4.0
2012-08-12,3388181.83,2654275.25,138,137,31493.812903225808,138402.15483870968,703.79,38.0,3.5789473684210527,200854.66,2.0
2012-08-13,3928170.01,3189564.96,153,153,31493.812903225808,138402.15483870968,758.46,42.0,4.023809523809524,152774.26,2.0
2012-08-14,4033912.16,3258198.58,151,151,31493.812903225808,138402.15483870968,697.59,42.0,4.023809523809524,122806.12,2.0
2012-08-15,3780293.26,2886923.59,162,161,31493.812903225808,138402.15483870968,623.39,28.0,3.5357142857142856,151816.06,4.0
2012-08-16,5249978.18,4222455.97,212,209,31493.812903225808,138402.15483870968,570.26,40.0,4.075,113705.70999999999,3.0
2012-08-17,4089284.05,3238908.92,158,158,31493.812903225808,138402.15483870968,749.01,38.0,4.2105263157894735,99923.97,2.0
2012-08-18,3450015.71,2808916.94,135,135,31493.812903225808,138402.15483870968,770.5,51.0,3.8653846153846154,217724.80000000002,7.0
2012-08-19,3904300.93,3006801.4,158,156,31493.812903225808,138402.15483870968,912.8,44.0,4.136363636363637,202280.82,4.0
2012-08-20,3541027.32,2827038.81,158,157,31493.812903225808,138402.15483870968,515.18,36.0,4.054054054054054,239785.46,30.991176470588236
2012-08-21,4147483.23,3364364.64,172,172,31493.812903225808,138402.15483870968,696.78,42.0,4.166666666666667,171977.21,5.0
2012-08-22,4597682.81,3562468.33,185,184,31493.812903225808,138402.15483870968,804.02,33.0,4.294117647058823,136318.88,3.0
2012-08-23,5478869.55,4195738.04,231,228,31493.812903225808,138402.15483870968,1213.04,34.0,3.8823529411764706,134683.32,3.0
2012-08-24,4637850.57,3632210.67,196,195,31493.812903225808,138402.15483870968,1050.29,42.0,4.095238095238095,124958.08,4.0
2012-08-25,3589566.28,2784342.75,141,138,31493.812903225808,138402.15483870968,932.06,25.0,4.12,152437.18,2.0
2012-08-26,4280204.53,3476942.48,164,161,31493.812903225808,138402.15483870968,1013.86,33.0,3.757575757575758,161977.41999999998,3.0
2012-08-27,3038895.84,2365260.68,137,136,31493.812903225808,138402.15483870968,741.42,32.0,3.84375,81683.89,5.0
2012-08-28,9508676.62,7439851.59,391,390,31493.812903225808,138402.15483870968,1000.55,34.0,3.4705882352941178,172200.33,2.0
2012-08-29,9260558.32,7336294.54,382,377,31493.812903225808,138402.15483870968,1273.16,45.0,3.9555555555555557,159355.52,1.0
2012-08-30,10086534.1,7950911.72,403,400,31493.812903225808,138402.15483870968,1824.32,38.0,4.051282051282051,175510.40999999997,3.0
2012-08-31,9104678.52,7277460.12,393,389,31493.812903225808,138402.15483870968,1711.3700000000001,39.0,3.923076923076923,115475.02,8.0
2012-09-01,8560208.92,6738335.17,341,337,22440.256666666668,96909.68666666666,1836.94,39.0,3.769230769230769,232778.57,2.0
2012-09-02,2587099.44,1946097.28,106,105,22440.256666666668,96909.68666666666,1465.98,30.0,4.266666666666667,144746.47,3.0
2012-09-03,3865505.01,3063431.08,147,147,22440.256666666668,96909.68666666666,1024.0,35.0,3.657142857142857,225389.39,5.0
