iter	RMSE
0	2154329.757
1	2020211.134
2	1897451.933
3	1786512.513
4	1684401.054
5	1597414.471
6	1523696.921
7	1453855.047
8	1388432.27
9	1327603.757
10	1276178.7
11	1230230.037
12	1189275.742
13	1153913.779
14	1122657.55
15	1094534.068
16	1069307.445
17	1046210.742
18	1028240.499
19	1010083.794
20	992016.9841
21	977237.9178
22	960235.806
23	949515.8898
24	937624.6994
25	927896.5754
26	920818.9543
27	911912.4434
28	903607.4467
29	894454.9312
30	886546.022
31	880113.0901
32	873894.7291
33	865892.3457
34	859415.4838
35	853104.7695
36	848845.1703
37	843246.9146
38	838754.0073
39	833458.6659
40	830243.7824
41	825299.3361
42	821348.0279
43	818898.9821
44	815679.8495
45	812013.8369
46	808072.0225
47	804675.7189
48	801240.5215
49	798633.2309
50	796140.8734
51	791257.0663
52	788065.6096
53	785849.6671
54	783959.9414
55	781406.2755
56	779020.8835
57	775478.0931
58	773390.1882
59	770566.6226
60	767301.2696
61	764962.5187
62	762632.3887
63	760002.2054
64	757038.3719
65	755230.5571
66	752728.6029
67	750248.5874
68	747876.226
69	746097.6158
70	744419.4342
71	742425.8292
72	740146.5471
73	736579.7823
74	733906.0442
75	732240.3743
76	730126.4686
77	727836.9186
78	725912.645
79	724008.7805
80	721589.0023
81	719782.3003
82	717743.3026
83	715553.7973
84	712824.4349
85	710090.9294
86	707359.0099
87	705844.5629
88	702997.3134
89	701055.227
90	698737.2831
91	696508.5191
92	694686.4698
93	692567.7354
94	689755.9386
95	686772.5434
96	683498.0743
97	681431.7208
98	679442.6733
99	676793.0251
100	674156.814
101	671884.3508
102	669638.2152
103	667768.2427
104	666548.9207
105	664666.4929
106	662995.343
107	660387.738
108	657680.2338
109	654586.7355
110	652428.0359
111	650645.8921
112	648855.9769
113	647289.1577
114	644399.3976
115	642506.9658
116	640936.269
117	638639.7099
118	636763.4631
119	635613.5405
120	634388.7617
121	633322.0981
122	631928.1481
123	630956.2953
124	629658.3596
125	628211.011
126	626092.0895
127	624084.4439
128	622588.1145
129	620710.4283
130	619535.3537
131	617482.7118
132	616048.4448
133	614543.353
134	613374.4283
135	612233.9289
136	610983.846
137	608785.5688
138	607829.7613
139	605908.3195
140	603742.6049
141	602207.3183
142	600496.8057
143	599547.8479
144	597593.8352
145	596624.9024
146	595664.6394
147	594848.2885
148	592767.5761
149	591218.7219
150	589327.1586
151	588240.8921
152	586435.6301
153	585338.2186
154	584415.4875
155	582982.3334
156	580731.7716
157	579608.788
158	578945.2268
159	577537.1646
160	576315.0623
161	574725.4805
162	572616.2119
163	571761.3576
164	569916.8207
165	568976.5559
166	567354.4724
167	566925.2014
168	565295.4929
169	564046.5503
170	562485.6496
171	560770.431
172	559859.552
173	558582.4281
174	557669.9675
175	556530.5532
176	555010.938
177	553782.3846
178	552258.1692
179	550834.8349
180	549446.2706
181	548503.6558
182	546494.8052
183	545432.541
184	544612.5446
185	544019.5584
186	542679.7036
187	541055.5107
188	540081.1022
189	539235.253
190	538598.3664
191	537964.7721
192	536533.8421
193	535237.2975
194	534767.9684
195	533367.1204
196	532472.1566
197	531293.9391
198	530328.1593
199	528835.1682
200	527958.0415
201	526874.8148
202	525575.423
203	523878.3264
204	522626.1322
205	521582.0077
206	520512.9672
207	519764.5044
208	517797.4802
209	516808.8745
210	515974.0054
211	514970.9123
212	513418.8741
213	512755.3233
214	512089.3509
215	510915.1732
216	510281.1312
217	509516.5312
218	508851.2405
219	507847.8408
220	506778.5461
221	505661.0417
222	504278.4648
223	503379.6718
224	502315.2516
225	501411.6871
226	500329.4315
227	499238.0662
228	498492.4542
229	497089.8491
230	495919.5248
231	494829.2066
232	494036.1373
233	492744.0729
234	491395.9417
235	490728.9221
236	489554.3585
237	488530.0879
238	487557.5536
239	486196.1831
240	484948.2106
241	484117.0366
242	482698.4151
243	481884.5373
244	480900.9211
245	479932.2016
246	479078.7454
