iter	Passed	Remaining
0	10	10689
1	20	10415
2	30	10192
3	41	10275
4	50	10059
5	60	10086
6	70	9997
7	79	9825
8	87	9610
9	95	9468
10	105	9448
11	113	9372
12	123	9362
13	132	9309
14	142	9356
15	152	9405
16	161	9339
17	170	9299
18	178	9240
19	187	9163
20	195	9126
21	204	9082
22	213	9049
23	222	9041
24	230	9002
25	240	9001
26	249	8987
27	257	8950
28	266	8935
29	276	8933
30	284	8893
31	291	8828
32	300	8796
33	307	8750
34	316	8730
35	325	8707
36	333	8670
37	341	8640
38	350	8633
39	361	8664
40	370	8665
41	379	8655
42	387	8621
43	394	8581
44	402	8548
45	411	8535
46	422	8557
47	428	8498
48	435	8457
49	445	8465
50	455	8470
51	464	8459
52	472	8443
53	481	8439
54	490	8420
55	499	8424
56	508	8413
57	516	8392
58	525	8374
59	533	8353
60	541	8329
61	551	8348
62	560	8342
63	570	8348
64	579	8329
65	587	8311
66	596	8300
67	604	8291
68	614	8291
69	623	8289
70	631	8263
71	640	8255
72	651	8271
73	661	8272
74	670	8269
75	679	8266
76	689	8259
77	697	8241
78	707	8253
79	717	8245
80	725	8234
81	734	8224
82	743	8216
83	753	8211
84	761	8198
85	771	8194
86	779	8184
87	788	8176
88	797	8163
89	806	8153
90	815	8149
91	824	8134
92	832	8120
93	842	8119
94	852	8119
95	860	8104
96	869	8091
97	877	8073
98	886	8065
99	895	8059
100	904	8054
101	914	8052
102	922	8035
103	931	8027
104	939	8011
105	949	8008
106	958	8001
107	967	7992
108	975	7976
109	987	7986
110	995	7974
111	1004	7966
112	1013	7956
113	1021	7939
114	1031	7934
115	1040	7929
116	1048	7914
117	1058	7911
118	1068	7913
119	1077	7900
120	1086	7891
121	1096	7888
122	1105	7882
123	1113	7868
124	1122	7858
125	1131	7847
126	1141	7844
127	1149	7831
128	1158	7820
129	1167	7816
130	1177	7809
131	1186	7799
132	1193	7782
133	1202	7773
134	1211	7762
135	1220	7754
136	1229	7746
137	1238	7738
138	1247	7729
139	1256	7718
140	1267	7724
141	1276	7710
142	1285	7706
143	1294	7695
144	1304	7691
145	1312	7678
146	1322	7672
147	1331	7664
148	1339	7648
149	1348	7641
150	1357	7630
151	1366	7624
152	1377	7624
153	1386	7618
154	1395	7607
155	1403	7594
156	1412	7583
157	1421	7575
158	1431	7570
159	1441	7566
160	1450	7559
161	1459	7549
162	1468	7540
163	1477	7531
164	1485	7517
165	1494	7509
166	1503	7499
167	1513	7494
168	1521	7479
169	1530	7474
170	1540	7466
171	1550	7465
172	1559	7454
173	1566	7436
174	1575	7428
175	1584	7419
176	1592	7406
177	1599	7388
178	1610	7384
179	1620	7382
180	1629	7374
181	1638	7366
182	1649	7362
183	1656	7347
184	1664	7333
185	1673	7325
186	1682	7314
187	1694	7317
188	1701	7301
189	1711	7294
190	1721	7291
191	1730	7283
192	1739	7274
193	1748	7264
194	1758	7260
195	1768	7254
196	1778	7248
197	1788	7244
198	1796	7231
199	1806	7225
200	1815	7218
201	1826	7214
202	1834	7204
203	1842	7189
204	1851	7178
205	1859	7165
206	1868	7157
207	1877	7149
208	1885	7137
209	1895	7132
210	1904	7120
211	1912	7110
212	1921	7099
213	1929	7086
214	1938	7076
215	1946	7064
216	1955	7054
217	1963	7044
218	1973	7036
219	1982	7029
220	1989	7013
221	1999	7007
222	2008	6997
223	2017	6989
224	2026	6980
225	2035	6970
226	2044	6961
227	2052	6948
228	2061	6940
229	2070	6930
230	2079	6921
231	2087	6909
232	2096	6901
233	2106	6895
234	2114	6884
235	2122	6871
236	2132	6864
237	2139	6848
238	2147	6839
239	2156	6830
240	2166	6822
241	2175	6814
242	2183	6803
243	2193	6797
244	2202	6788
245	2213	6784
246	2221	6773
247	2231	6766
248	2241	6760
249	2250	6750
250	2259	6742
251	2268	6733
252	2277	6723
253	2286	6715
254	2296	6708
255	2306	6704
256	2314	6692
257	2324	6683
258	2332	6674
259	2342	6667
260	2351	6657
261	2361	6650
262	2371	6646
263	2380	6637
264	2390	6629
265	2397	6616
266	2407	6608
267	2414	6594
268	2424	6588
269	2433	6580
270	2443	6573
271	2453	6567
272	2462	6557
273	2471	6547
274	2479	6536
275	2488	6527
276	2499	6522
277	2509	6518
278	2519	6510
279	2527	6498
280	2535	6488
281	2544	6479
282	2554	6470
283	2563	6462
284	2571	6450
285	2579	6439
286	2587	6428
287	2597	6420
288	2606	6413
289	2616	6404
290	2625	6395
291	2632	6384
292	2642	6376
293	2651	6366
294	2659	6355
295	2667	6345
296	2675	6331
297	2682	6320
298	2690	6307
299	2697	6294
300	2706	6284
301	2714	6273
302	2724	6268
303	2734	6261
304	2743	6252
305	2753	6244
306	2762	6236
307	2770	6224
308	2780	6218
309	2788	6205
310	2795	6193
311	2803	6182
312	2811	6171
313	2821	6164
314	2830	6154
315	2838	6144
316	2846	6133
317	2854	6122
